357,UNLEASH TALENT INC                                ,11111111       ,0, ,3,"20/52, FAIRFIELD GARDENS                          ",COLOMBO 8                                         ,                                                  ,0,                                                                      ,11111111       
358,DIALOG AXIATA  PLC                                ,11111111       ,0, ,3,"NO 57, 3RD FLOOR                                  ",DHARMAPALA MAWATHA                                ,COLOMBO 03                                        ,0,GEORGINI GEORGE                                                       ,11111111       
359,CASH SALES - KEGALLE BRANCH                       ,11111111       ,0, ,3,KEGALLE                                           ,                                                  ,                                                  ,0,MR.CHAMINDA                                                           ,11111111       
360,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,11111111       
361,CBE F/R DIALOG OUTLET CMB 8                       ,11111111       ,0, ,3,"1113, MARADANA ROAD                               ",COLOMBO 8                                         ,                                                  ,0,                                                                      ,11111111       
362,DIALOG AXIATA PLC                                 ,11111111       ,0, ,3,T.B JAYAWA MAWATHA (AKBAR BROTERS BUILDING)       ,COLOMBO 10                                        ,                                                  ,0,MR.A.R.M FAIZAR                                                       ,11111111       
363,Trischel Fabric (Private) Limited                 ,11111111       ,0, ,3,THULHIRIYA                                        ,                                                  ,                                                  ,0,                                                                      ,11111111       
364,Richard Pieris Distributors Ltd                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,11111111       
365,LINK NATURAL PRODUCT                              ,11111111       ,0, ,3,KAPUGODA                                          ,                                                  ,                                                  ,0,D C JAYASINGHE                                                        ,11111111       
366,PELEMIX LANKA PVT LTD                             ,11111111       ,0, ,3,"115 1/1, JAWATHA ROAD                             ",COLOMBO 5                                         ,                                                  ,0,                                                                      ,11111111       
367,CEYLON AGRO DEVELOPMENT CO (PVT) LTD              ,11111111       ,0, ,3,"40, YORK STREET                                   ",COLOMBO 01                                        ,                                                  ,0,THE ACCOUNTANT                                                        ,11111111       
368,CENTRAL FINANCE COMPANY PLC -                     ,11111111       ,0, ,3,"270, VAUXHALL STREET                              ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,11111111       
369,FLEET MANAGEMENT UNIT                             ,11111111       ,0, ,3,DIALOG AXIATA PLC                                 ,"475, UNION PLACE                                  ",COLOMBO 2                                         ,0,MR.ROSHAN PERERA                                                      ,11111111       
370,DIALOG BROADBAND NETWORKS PVT LTD                 ,11111111       ,0, ,3,REVENUE ASSURANCE                                 ,"57, LEVEL 4 DARMAPALA MW                          ",COLOMBO 3                                         ,0,                                                                      ,11111111       
371,DIALOG AXIATA PLC                                 ,11111111       ,0, ,3,GROUP FINANCE                                     ,4TH FLOOR PINNACLE TOWER                          ,COLOMBO 4                                         ,0,                                                                      ,11111111       
372,ASCOT - ANNUAL REPORT                             ,11111111       ,0, ,3,ACIAN COTTON MILLS PLC                            ,"N0 30-51A, LONGDON PLACE                          ",COLOMBO 07                                        ,0,                                                                      ,11111111       
373,Richard Pieris Distributors Ltd                   ,               ,0, ,3,"L M D SECTOR,                                     ","No 310, High Level Road                           ",Nawunna Maharagama                                ,0,Ms. THILINI RODRIGO                                                   ,               
374,WYTECH (PVT) LTD                                  ,5745945        ,0, ,3,"NO 60, NEW KALANI BRIDGE ROAD                     ",ORUGODAWATTA                                      ,WELLAMPITIYA                                      ,0,MS.IMEDHA ABEYWARDENA                                                 ,5745945        
375,SANJA LANKA PVT LTD (MOBITEL DEL POINT)           ,               ,0, ,3,"984, KOTTE ROAD                                   ",ETHUL KOTTE                                       ,                                                  ,0,                                                                      ,               
376,MOBITEL PVT LTD (MEGA TEAM)                       ,               ,0, ,3,"108, W.A.D. RAMANAYAKE MAWATHA                    ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
377,DIALOG BROADBAND NETWORK (PVT) LTD                ,               ,0, ,3,NO 57                                             ,DHARMAPALA MAWATHA                                ,COLOMBO 03                                        ,0,                                                                      ,               
378,SJMS CHARTERED ACCOUNTANTS                        ,               ,0, ,3,NO 02                                             ,CASTLE LANE                                       ,COLOMBO 04                                        ,0,                                                                      ,               
379,TEXTPRINT LANKA (PVT) LTD                         ,4768700        ,0, ,3,MAS FABRIC PARK                                   ,KURUNEGALA ROAD                                   ,THULHIRIYA                                        ,0,MR. NUWAN RATHNAYAKE                                                  ,4768700        
380,SKILLS INTERNATIONAL (PVT) LTD                    ,2375270-1 47403,0, ,3,"2ND FLOOR, LAKSHMANS BUILDING                     ",NO 321 GALLE ROAD                                 ,COLOMBO 03                                        ,0,MS AMA ABEYRATNE                                                      ,2375270-1 47403
381,MOBITEL (PVT) LTD                                 ,               ,0, ,3,"NO 108,                                           ",R A D RAMANAYAKE MAWATHA                          ,COLOMBO 02                                        ,0,MR. MANJULA                                                           ,               
382,MOBITEL (PVT) LTD                                 ,               ,0, ,3,No 108                                            ,RAMANAYAKE MAWATHA                                ,COLOMBO 02                                        ,0,                                                                      ,               
383,MOBITEL (PVT) LTD (UPAHARA)                       ,               ,0, ,3,"NO 108,                                           ",R A D RAMANAYAKE MAWATHA                          ,COLOMBO 02                                        ,0,                                                                      ,               
384,COMMERCIAL BANK                                   ,               ,0, ,3,ANNUAL REPORT DELIVERY                            ,BRISTOL STREET                                    ,COLOMBO 1                                         ,0,                                                                      ,               
385,RICH LIGHT  (PVT) LTD.                            ,0252265058     ,0, ,3,ANURADHAPURA ROAD                                 ,THIBBATUWAWA                                      ,KEKIRAWA                                          ,0,                                                                      ,0252265058     
386,KEY MEDIA                                         ,0115673957     ,0, ,3,"No 131/6,                                         ",Kirulapone Mawatha                                ,Colombo 05                                        ,0,MR. P. MALLAWARATCHI                                                  ,0115673957     
387,SUNSHINE HEALTHCARE LANKA LIMITED                 ,               ,0, ,3,NO 130/6                                          ,KSRI WICKRAMA MAWATHA                             ,COLOMBO 15                                        ,0,                                                                      ,               
388,LANKA POLYMERS (PVT) LTD (HANTS)                  ,"2933460,2934170",0, ,3,"NO 246,                                           ",NEGEMBO ROAD                                      ,WATTALA                                           ,0,                                                                      ,"2933460,2934170"
389,JOHN KEELLS HOLDING                               ,               ,0, ,3,COOPERATE FINANACE                                ,"NO 130, GLENNIE STREET                            ",COLOMBO 02                                        ,0,                                                                      ,               
390,CHEMANEX PLC ANNUAL REPORT                        ,               ,0, ,3,NO 52                                             ,GALLE FACE COURT 2                                ,COLOMBO 03                                        ,0,                                                                      ,               
391,KEELLS FOODS PRODUCT PLC                          ,               ,0, ,3,NO 16                                             ,MINUWANGODA ROAD EKALA                            ,JA ELA                                            ,0,                                                                      ,               
392,CEYLON COLD STORES PLC                            ,               ,0, ,3,"NO 1,                                             ","JUSTICE AKBARAM MAWATHA,                          ",COLOMBO 02.                                       ,0,                                                                      ,               
393,HEMAS HOLDINGS ANNUAL REPORTS                     ,               ,0, ,3,YORK STREET                                       ,COLOMBO 01                                        ,                                                  ,0,MS MALKANTHI                                                          ,               
394,HARSHANA ASSOCIATE                                ,               ,0, ,3,NO 235/A                                          ,MUTHUWADIYA                                       ,RADDOLUGAM                                        ,0,MR. JAYANTHA                                                          ,               
395,CHEMANEX PLC ANNUAL REPORT                        ,               ,0, ,3,No 52                                             ,GALLE FACE COURT 2                                ,COLOMBO 03                                        ,0,                                                                      ,               
396,MAGANEGUMA CONSULTANCY MANAGEMENT                 ,2610524        ,0, ,3,"NO 50,                                            ","STATION ROAD, ANGULANA                            ",MORATUWA                                          ,0,                                                                      ,2610524        
397,JAYASOORIYA OPTICAL                               ,               ,0, ,3,"NO 637,                                           ",PERADANIYA ROAD                                   ,KANDY.                                            ,0,                                                                      ,               
398,DIALOG AXIATA PLC                                 ,               ,0, ,3,MARKERTING CHANNEL                                ,"NO 475, UNION PLACE                               ",COLOMBO 02                                        ,0,                                                                      ,               
399,DIALOG BROADBAND NETWORK (PVT) LTD                ,               ,0, ,3,"4th FLOOR, NO 28,PREMIER PINNACLE TOWER           ",PREMIER PINNACLE TOWER                            ,COLOMBO 04                                        ,0,                                                                      ,               
400,INTIMA (PVT) LTD                                  ,0384922955     ,0, ,3,NO 45/11                                          ,MODARAWILA INDUSTRIL ESTATE                       ,PANADURA                                          ,0,MS. JEEVANI / NILAKSHI                                                ,0384922955     
401,DIALOG AXIATA PLC                                 ,               ,0, ,3,REDIRECTION BILL DELIVERY INF                     ,"475, UNION PLACE                                  ",COLOMBO 2                                         ,0,MR. SADUN KANCHANA                                                    ,               
402,DIALOG TELEVISION  (PVT) LTD                      ,               ,0, ,3,"275, NAWALA ROAD                                  ",NAWALA                                            ,                                                  ,0,                                                                      ,               
403,DIALOG BROADBAND NETWORK (PVT) LTD                ,               ,0, ,3,NO 57                                             ,DHARMAPALA MAWATHA                                ,COLOMBO 03                                        ,0,                                                                      ,               
404,DIALOG TELEVISION (PVT) LTD                       ,               ,0, ,3,"275, NAWALA ROAD                                  ",NAWALA                                            ,                                                  ,0,                                                                      ,               
405,DIALOG AXIATA PLC                                 ,               ,0, ,3,NO 475                                            ,UNION PLACE                                       ,COLOMBO 02                                        ,0,                                                                      ,               
406,NAWIN LANKA OPTICAL                               ,               ,0, ,3,NO 32                                             ,MAIN STREET                                       ,ALAWWA                                            ,0,                                                                      ,               
407,INSTITUET CERTIFIED PROFESSIONAL MANGER           ,"2506391,2501062",0, ,3,"29/24,                                            ","VISAKHA LANE,                                     ",COLOMBO 04                                        ,0,MR. DEVINDA JAYASOORIYA                                               ,"2506391,2501062"
408,HILTON COLOMBO                                    ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
409,HILTON COLOMBO - SAME DAY                         ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
410,DIALOG TELEVISION (PVT) LTD                       ,               ,0, ,3,NO 275                                            ,NAWALA ROAD                                       ,NAWALA                                            ,0,                                                                      ,               
411,RELIANCE INSURANCE BROKERS PVT LTD                ,114897777      ,0, ,3,"425/11 A, HAVELOCK ROAD                           ",COLOMBO 6                                         ,                                                  ,0,MR. A  M LASANTHA BANDRA                                              ,114897777      
412,UNITED MORTORS LANKA PLC                          ,               ,0, ,3,NO 100                                            ,HYDE PARK CONNER                                  ,COLOMBO 02                                        ,0,DGM FINANCE                                                           ,               
413,DIALOG BROADBRAND NETWORK (PVT) LTD               ,               ,0, ,3,No 57                                             ,DHARMAPALA MAWATHA                                ,COLOMBO 03                                        ,0,                                                                      ,               
414,DIALOG BROADBAND (SPLD)                           ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
415,NATION LANKA FINANCE                              ,               ,0, ,3,COLOMBO 03                                        ,                                                  ,                                                  ,0,MR. ROGER                                                             ,               
416,LAKE HOUSE BOOKSHOP (PVT) LTD                     ,4627396/7 49796,0, ,3,"100, SIR CHITTAMPALAM A GARDINER MAWATHA          ",COLOMBO 2                                         ,                                                  ,0,MR. MILES BROHIER                                                     ,4627396/7 49796
417,INSTITUTE OF CERTIFIED PROFESSIONAL MANA          ,2506391 2501062,0, ,3,"NO 01,                                            ",BETHESDA PLACE (OFF DICKMAN ROAD)                 ,COLOMBO 05                                        ,0,MR. DEVINDA JAYASOORIYA                                               ,2506391 2501062
418,SHADOW LINE PVT LTD                               ,0814487000  EXE,0, ,3,BOI                                               ,PALLEKELE                                         ,                                                  ,0,MR.SUJEEWA / SUJITH                                                   ,0814487000  EXE
419,DIALOG AXIATA PLC                                 ,               ,0, ,3,NO 475                                            ,UNION PLACE                                       ,COLOMBO 02                                        ,0,                                                                      ,               
420,INSTITUTE OF CHARTED ACCOUNTS (ID)                ,               ,0, ,3,NO 30A                                            ,MALALASEKARA MAWATHA                              ,COLOMBO 07                                        ,0,                                                                      ,               
421,CASH SALES - KALUTARA BRANCH                      ,               ,0, ,3,KALUTARA                                          ,                                                  ,                                                  ,0,                                                                      ,               
422,AMERICARES                                        ,2690322        ,0, ,3,"2A, 2/3, CBM HOUSE                                ",LAKE DRIVE                                        ,COLOMBO 08                                        ,0,MS.RAMANI PERERA                                                      ,2690322        
423,INSTITUTE OF CHARTED ACCOUNT (JD)                 ,               ,0, ,3,NO 30A                                            ,MALALASEKARA MAWATHA                              ,COLOMBO 07                                        ,0,                                                                      ,               
424,INSTITUTE OF CHARTED SAME DAY                     ,               ,0, ,3,NO 30A                                            ,MALALASEKARA MAWATHA                              ,COLOMBO 07                                        ,0,                                                                      ,               
425,P.W CORPORATE SECRETARIAL PVT LTD                 ,4640360        ,0, ,3,"3/17, KYNSEY ROAD                                 ",COLOMBO 8                                         ,                                                  ,0,MS.KAMINI KADIRGAMAR                                                  ,4640360        
426,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A De RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
427,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A De RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
428,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A DE RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
429,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A De RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
430,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A DE RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
431,MOBITEL (PVT) LTD                                 ,               ,0, ,3,NO 108                                            ,R A DE RAMANAYAKE MAWATHA                         ,COLOMBO 02                                        ,0,                                                                      ,               
432,LIYDIS (PVT) LTD                                  ,0112253227     ,0, ,3,NO 130                                            ,TEMPLE ROAD                                       ,KATUNAYAKE                                        ,0,"MRS, ANNE FERNANDO                                                    ",0112253227     
433,EMAR PHARMA (PVT) LTD                             ,0112810913-4   ,0, ,3,"NO 23, ANDERSON ROAD                              ",KALUBOWILA                                        ,DEHIWALA                                          ,0,MR. P PRABAHARANA / MS. KALA                                          ,0112810913-4   
434,INTITUTE OF CHARTED ACCOUNTS (ES)                 ,               ,0, ,3,NO 30A                                            ,MALALASEKARA MAWATHA                              ,COLOMBO 07                                        ,0,                                                                      ,               
435,MRS DISANAYAKA  PTD ICASL                         ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
436,CIC CALENDER DELIVERY                             ,               ,0, ,3,NO 199                                            ,KEW ROAD                                          ,COLOMBO 02                                        ,0,                                                                      ,               
437,CHIEF FINANCIAL OFFICER                           ,               ,0, ,3,SEYLAN MECHANT BANK                               ,"NO 360, LANDMARK BUILDING                         ",COLOMBO 03                                        ,0,MR. MANJULA JAYASOORIYA                                               ,               
438,SINGER SERVICE PLUS                               ,               ,0, ,3,NO 253/2                                          ,KATUGASTOTA ROAD                                  ,KANDY                                             ,0,                                                                      ,               
439,MOBITEL (PVT) LTD                                 ,               ,0, ,3,"NO 108,                                           ",W A D RAMANAYAKE MAWATHA                          ,COLOMBO 02                                        ,0,                                                                      ,               
440,BLUESCOPLY SAUGHT LANKA (PVT) LIMITED             ,               ,0, ,3,NO 26 & 27                                        ,SAPUGASKANDA INDUSTRIAL ESTATE                    ,"PATTAWILLA ROAD, SAPUGASKANDA                     ",0,                                                                      ,               
441,CASH SALES -  MARAWILA BRANCH                     ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
442,CAPITAL TRUST SECURITY                            ,               ,0, ,3,COLOMBO 03                                        ,                                                  ,                                                  ,0,                                                                      ,               
443,RANGI FASHANS (PVT) LIMITED                       ,               ,0, ,3,"No 427,                                           ","KANDY ROAD,                                       ",YATTAGODA                                         ,0,                                                                      ,               
444,ORIENT ACADAMY LIMITED                            ,               ,0, ,3,"NO 36/6A 3/1, 3rd FLOOR                           ","PARAKUM MAWATHA, NAWALA ROAD                      ",NUGEGODA.                                         ,0,                                                                      ,               
445,KENT DISPLAY SYSTEM (PVT) LTD                     ,"2448844,2447719",0, ,3,NO 200                                            ,SIR JAMES PEIRIS MAWATHA                          ,COLOMBO 02                                        ,0,MR. VIRAJ PATHIRANA                                                   ,"2448844,2447719"
446,KENT TROPHIES & AWARDS                            ,2448844        ,0, ,3,"NO 200,                                           ", SIR JAMES PEIRIS MAWATHA                         ,COLOMBO 02                                        ,0,SHYAMA SUGATHAPALA                                                    ,2448844        
447,LIBERTY CHMICALS (PVT) LTD                        ,2773281        ,0, ,3,"NO 322/33,                                        ",UTHUWANKANDA ROAD                                 ,THALAWATHUGODA                                    ,0,MR. G. SUBASEELA                                                      ,2773281        
448,CIC CALENDER DELIVERY - Dep LANLEY                ,               ,0, ,3,NO 199                                            ,KEW ROAD                                          ,COLOMBO 02                                        ,0,                                                                      ,               
449,CIC CALENDER DELIVERY - Mr. Manjula               ,               ,0, ,3,NO 199                                            ,KEW ROAD                                          ,COLOMBO 02                                        ,0,                                                                      ,               
450,TRITEL SERVICES (PVT) LIMITED                     ,               ,0, ,3,NO 10                                             ,DAISYYILLA AVENUE                                 ,COLOMBO 04                                        ,0,                                                                      ,               
451,SPEED INTL FREIGHT SYSTEMS PVT LTD                ,94112447945    ,0, ,3,"126/1/14, FIRST FLOOR, YMBA BUILDING              ",COLOMBO 1                                         ,                                                  ,0,                                                                      ,94112447945    
452,DELLIGISTICS (PVT) LTD                            ,2685364        ,0, ,3,"NO 20, L-3                                        ",HEDYES COURT                                      ,COLOMBO 10                                        ,0,MR. WEERASIRI                                                         ,2685364        
453,EXPOLANKA FREIGHT PVT LTD                         ,0114791000     ,0, ,3,"10, MILE POST AVENUE                              ",COLOMBO 3                                         ,                                                  ,0,MR.SHIRAN DIAS                                                        ,0114791000     
454,ROYAL OPTICIANS                                   ,2553541        ,0, ,3,NO 257/1E                                         ,GALLE ROAD                                        ,COLOMBO 06                                        ,0,RAJENDRAN                                                             ,2553541        
455,MANALIYANGE MAHAGEDARA (SALON CHAMPI)             ,033223443      ,0, ,3,"98/6, LAKE DRIVE                                  ",COLOMBO 8                                         ,                                                  ,0,MS. CHAMPI SIRIWARDANA                                                ,033223443      
456,AUSTRALIAN COLLEGE OF BUSINESS & TECHNOL          ,2565595        ,0, ,3,NO 442                                            ,GALLED ROAD                                       ,COLOMBO 03                                        ,0,"CARE OF JENNIFER HERATH, DILSHAN FERNANDO                             ",2565595        
457,KEVILTON ELECTRICALS PRODUCTS PVT (LTD)           ,4892346        ,0, ,3,"NO 11, 1st CROSS STREET                           ",BORUPANA ROAD                                     ,RATHMALANA                                        ,0,MR. NALEEM JAYAWARDANE                                                ,4892346        
458,CINAMAN LAKE SIDE - SALES TEAM                    ,               ,0, ,3,COPLOMBO 02                                       ,                                                  ,                                                  ,0,                                                                      ,               
459,DIALOG AXIATA PLC                                 ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
460,BROWN & COMPANY PLC                               ,               ,0, ,3,NO 481                                            ,T B JAYAH MAWATHA                                 ,COLOMBO 10                                        ,0,                                                                      ,               
461,DIALOG AXIATA PLC                                 ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
462,DIALOG AXIATA PLC                                 ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
463,HUTCHISON TELECOMMUNICATIONS LANKA (PVT) LTD      ,               ,0, ,3,"NO 234,                                           ",GALLE ROAD                                        ,COLOMB0 04                                        ,0,                                                                      ,               
464,HUTCHISON TELECOMMUNICATIONS LANKA (PVT) LTD      ,               ,0, ,3,NO 234                                            ,GALLE ROAD                                        ,COLOMBO 04                                        ,0,Atten. Ms. DELMINI SOYSA                                              ,               
465,DIALOG AXIATA PLC                                 ,               ,0, ,3,NO 5/25                                           ,STATION ROAD                                      ,KURUNEGALA                                        ,0,                                                                      ,               
466,PHONE CELL (PVT) LTD                              ,               ,0, ,3,NO 211/A                                          ,KIRIBATHGODA                                      ,                                                  ,0,                                                                      ,               
467,JIL HOLDINGS                                      ,               ,0, ,3,WATTALA                                           ,                                                  ,                                                  ,0,                                                                      ,               
468,SAVOTA DISTRIBUTORS                               ,               ,0, ,3,"NO 45, STATION ROAD                               ",DELKANDA                                          ,NUGEGODA                                          ,0,                                                                      ,               
469,M.S.A. COMMUNICATION                              ,               ,0, ,3,BEKKEGAMA ROAD                                    ,WALANA                                            ,PANADURA                                          ,0,                                                                      ,               
470,GALAXY VIDEO & COMMUNICATION                      ,               ,0, ,3,ELLA ROAD                                         ,KURUDUGAHA                                        ,ELPITIYA                                          ,0,                                                                      ,               
471,UNITEL LANAKA (PVT) LTD                           ,               ,0, ,3,"NO 32/B, KINGS WATTA                              ",ANAGARIAKA DHARMAPALA MAWATHA                     ,MATARA                                            ,0,                                                                      ,               
472,J.N. MARKETING                                    ,               ,0, ,3,NO 32                                             ,SUWATISSA MAWATHA                                 ,KURUNEGALA                                        ,0,                                                                      ,               
473,SIME SHOP                                         ,               ,0, ,3,KEGALLE                                           ,                                                  ,                                                  ,0,                                                                      ,               
474,S.M.S. COMMUNICATION                              ,               ,0, ,3,MAIN STREET                                       ,ATTALACHCHENAI                                    ,AMPARA                                            ,0,                                                                      ,               
475,ALPHA ENTERPRISES (PVT) LTD                       ,               ,0, ,3,NO 101/1                                          ,J.P. LANE                                         ,PUTTALAMA                                         ,0,                                                                      ,               
476,ASIA WORLD MARKETING                              ,               ,0, ,3,BIRUNTHA                                          ,CHEKKADY ROAD                                     ,KALUWANCHIKUDY                                    ,0,                                                                      ,               
477,KRISHNA TRADERS                                   ,               ,0, ,3,NO 68                                             ,1ST CROSS STREET                                  ,VAVUNIYA                                          ,0,                                                                      ,               
478,RAJARATA NETWORK                                  ,               ,0, ,3,NO 170                                            ,KOTIGODELLA VEEDIYA                               ,KANDY                                             ,0,                                                                      ,               
479,RAJARATA NETWORK                                  ,               ,0, ,3,NO 50/C                                           ,GONGAWELA ROAD                                    ,MATALE                                            ,0,                                                                      ,               
480,GREEN PET                                         ,               ,0, ,3,NO 09 PRAVEENA BUILDING                           ,NEW BUS STAND                                     ,ANURADHAPURA                                      ,0,                                                                      ,               
481,GALLE CITY                                        ,               ,0, ,3,"NO 69, MAIN STREET                                ",KADURUWELLA                                       ,POLLANARUWA                                       ,0,                                                                      ,               
482,I. D. ENTERPRISE                                  ,               ,0, ,3,COURT ROAD                                        ,TRINCOMALEE                                       ,                                                  ,0,                                                                      ,               
483,SHINE TELECOM                                     ,               ,0, ,3,NO 3007/5                                         ,MORAKETIYA                                        ,EMBILIPITIYA                                      ,0,                                                                      ,               
484,MOBILE ONE                                        ,               ,0, ,3,"NO 10, UNITED SHOPPING COMPLEX                    ",MAIN STREET                                       ,BANDARAWELA                                       ,0,                                                                      ,               
485,LANKA MILLS GROUP                                 ,               ,0, ,3,NO 189                                            ,BAMARAKELLE                                       ,NUWARAELIYA                                       ,0,                                                                      ,               
486,SUN TRADE CO.                                     ,               ,0, ,3,S-52                                              ,BRISTOL STREET                                    ,COLOMBO 01                                        ,0,                                                                      ,               
487,MINIDU DISTRIBUTORS                               ,               ,0, ,3,"NO 16/A, ANNASIKOTUWA                             ",WEERA MAWATHA                                     ,PANNIPITIYA                                       ,0,                                                                      ,               
488,PILLAYAR STORESS                                  ,               ,0, ,3,NO 31                                             ,MANIPAY ROAD                                      ,JAFFNA                                            ,0,                                                                      ,               
489,PHONE GALLERY                                     ,               ,0, ,3,NO 40                                             ,NUWERALIYA ROAD                                   ,GAMPOLA                                           ,0,                                                                      ,               
490,SANSMART                                          ,               ,0, ,3,NO 50C                                            ,GONGAWALA ROAD                                    ,MATALE                                            ,0,                                                                      ,               
491,ST DISTRIBUTERS                                   ,               ,0, ,3,NO 143/19                                         ,M J M LAFFIR MAWATHA                              ,COLOMBO 12                                        ,0,                                                                      ,               
492,SERENDIB ENTERPRISES                              ,               ,0, ,3,OLD ELLA ROAD                                     ,COURT JUNSTION                                    ,WELLAWAYA                                         ,0,                                                                      ,               
493,A.C.B.T (2)                                       ,2565595        ,0, ,3,No 422                                            ,GALLED ROAD                                       ,COLOMBO 03                                        ,0,"Care Of Jennifer Herath, Dilshan Fernando                             ",2565595        
494,DIALOG AXIATA PLC                                 ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,STAR POINTS PROMOTION                             ,0,                                                                      ,               
495,DIALOG AXIATA PLC                                 ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,OUTSTANDING PAYMENTS                              ,0,                                                                      ,               
496,DIALOG TELEVISION PVT LTD                         ,               ,0, ,3,"475, UNION PLACE                                  ",COLOMBO 2                                         ,(KIDS PROMOTION LETTER)                           ,0,                                                                      ,               
497,TECH G.S.M                                        ,               ,0, ,3,NO 279/E                                          ,R. A. DE MEL MAWATHA                              ,COLOMBO 03                                        ,0,                                                                      ,               
